"orderid","ordercode","dateid","shipmodeid","customerid","productid","cityid","sales"
139,CA-2017-113551,190,4,63,676,33,2.068
140,CA-2017-113551,190,4,63,1628,33,83.84
141,CA-2016-119942,72,4,323,1645,443,23.904
142,CA-2017-157511,416,4,516,1583,358,5.352
143,CA-2017-157511,416,4,516,1702,358,99.372
144,CA-2017-157511,416,4,516,599,358,2.672
145,CA-2018-155292,525,4,717,1020,490,105.98
146,CA-2018-155292,525,4,717,96,490,33.94
147,CA-2018-155292,525,4,717,128,490,30
148,CA-2018-154676,275,4,41,1099,528,151.056
149,CA-2016-169397,515,4,253,250,106,19.776
150,US-2017-114776,49,4,570,716,67,19.44
151,CA-2017-130029,61,4,76,1226,285,12.96
152,CA-2017-130029,61,4,76,132,285,3.96
153,US-2018-132381,468,4,545,1551,248,314.532
154,CA-2016-142237,602,4,449,943,412,2.502
155,CA-2016-142237,602,4,449,1131,412,6.48
156,CA-2016-142237,602,4,449,1759,412,341.488
157,CA-2016-142237,602,4,449,1326,412,11.12
158,CA-2016-142237,602,4,449,362,412,25.344
159,CA-2018-120376,53,4,131,329,511,199.95
160,CA-2018-158729,202,4,9,674,220,1665.62
161,CA-2018-120376,53,4,131,1566,511,1586.69
162,CA-2018-120376,53,4,131,1080,511,84.99
163,CA-2018-120376,53,4,131,1304,511,411.8
164,US-2015-158400,429,4,230,264,607,49.408
165,US-2016-113593,292,4,667,505,507,115.44
166,CA-2015-136567,152,4,687,1118,368,122.48
167,CA-2018-101322,173,4,135,1016,463,340.704
168,US-2017-106600,457,4,55,791,127,354.9
169,CA-2018-151484,562,4,615,1396,443,51.336
170,CA-2018-151484,562,4,615,1167,443,332.704
171,CA-2015-103989,477,4,666,1387,77,323.976
172,CA-2015-103989,477,4,666,15,77,11.808
173,CA-2015-103989,477,4,666,677,77,26.16
174,CA-2015-103989,477,4,666,1007,77,33.57
175,CA-2015-103989,477,4,666,1259,77,4.992
176,CA-2015-103989,477,4,666,1573,77,20.016
177,CA-2015-103989,477,4,666,845,77,170.24
178,CA-2018-112529,266,4,773,1692,470,718.116
179,CA-2018-112529,266,4,773,1469,470,31.776
180,CA-2015-136567,152,4,687,1636,368,62.31
181,CA-2015-136567,152,4,687,1009,368,455.1
182,CA-2018-140676,174,4,21,846,111,39.9
183,CA-2018-140676,174,4,21,1025,111,90.86
184,CA-2017-143609,618,4,523,350,218,403.92
185,CA-2016-138954,155,4,97,1770,508,70.95
186,CA-2016-138954,155,4,97,415,508,34.944
187,CA-2016-138954,155,4,97,780,508,119.04
188,CA-2018-140676,174,4,21,1368,111,94.85
189,CA-2015-156314,16,4,12,549,114,30.36
190,CA-2015-113166,16,4,296,1010,115,9.568
191,CA-2016-169397,515,4,253,714,106,479.988
192,CA-2018-130351,59,4,246,1407,236,61.44
193,CA-2018-130351,59,4,246,483,236,38.9
194,CA-2018-145660,497,4,126,624,545,7.712
195,CA-2018-130351,59,4,246,702,236,99.39
196,CA-2016-169397,515,4,253,1029,106,27.168
197,CA-2017-111682,303,4,504,423,321,208.56
198,CA-2017-111682,303,4,504,528,321,32.4
199,CA-2017-111682,303,4,504,1016,321,319.41
200,CA-2018-138779,752,4,246,1355,225,21.744
201,CA-2018-138779,752,4,246,1627,225,7.92
202,CA-2015-101147,261,4,60,1432,466,2.394
203,CA-2017-132479,174,4,531,1311,79,442.372
204,CA-2018-149706,138,4,293,652,310,116.312
205,CA-2018-155460,307,4,770,1648,382,5.28
206,CA-2018-155460,307,4,770,1322,382,895.92
207,CA-2018-143756,661,4,676,765,203,701.96
208,CA-2018-107314,546,4,129,1077,607,25.83
209,CA-2018-158246,673,4,638,349,138,215.976
210,CA-2015-157784,645,4,81,1017,104,479.97
211,CA-2015-157784,645,4,81,1184,104,14.62
212,CA-2018-113670,128,4,508,1176,144,510.24
213,CA-2018-113670,128,4,508,512,144,204.95
214,CA-2018-166198,116,4,317,351,414,11.54
215,CA-2018-166198,116,4,317,816,414,162.6
216,CA-2015-157784,645,4,81,606,104,19.44
217,US-2017-105830,202,4,14,1734,92,156.512
218,CA-2016-146255,477,4,22,545,269,119.85
219,CA-2016-146255,477,4,22,426,269,69.28
220,CA-2016-146255,477,4,22,1818,269,587.97
221,CA-2018-127264,102,4,173,1656,271,7.056
222,CA-2017-111682,303,4,504,1471,321,14.56
223,CA-2016-119291,199,4,586,1619,130,198.272
224,CA-2018-133235,8,4,435,1704,501,271.96
225,CA-2018-144848,442,4,330,1134,126,41.22
226,CA-2018-144848,442,4,330,142,126,240.37
227,CA-2018-144848,442,4,330,1111,126,119.02
228,CA-2015-124646,587,4,659,1500,404,501.81
229,CA-2015-124646,587,4,659,1054,404,161.94
230,CA-2017-163216,570,4,316,1603,248,4.928
231,US-2018-104661,19,4,695,484,102,47.984
232,US-2018-104661,19,4,695,205,102,62.592
233,US-2018-104661,19,4,695,1258,102,4.276
234,CA-2017-116799,204,4,135,1596,588,563.43
235,CA-2016-119291,199,4,586,1590,130,47.36
236,CA-2016-119291,199,4,586,166,130,200.984
237,CA-2016-119291,199,4,586,456,130,97.696
238,CA-2016-119291,199,4,586,879,130,2.696
239,CA-2018-125472,24,4,279,1095,220,241.96
240,CA-2018-125472,24,4,279,259,220,3.89
241,CA-2018-125472,24,4,279,1043,220,8.01
242,CA-2016-119291,199,4,586,1830,130,18.588
243,CA-2018-161774,124,4,774,745,185,899.43
244,CA-2018-161774,124,4,774,680,185,46.2
245,CA-2018-161774,124,4,774,1565,185,47.952
246,CA-2018-161774,124,4,774,491,185,7.992
247,CA-2018-161774,124,4,774,571,185,76.864
248,CA-2016-119291,199,4,586,378,130,4.896
249,CA-2016-149650,636,4,267,683,205,454.272
250,CA-2018-157833,167,4,556,1166,16,51.312
251,CA-2015-152296,98,4,196,1307,16,19.752
252,CA-2017-158834,569,4,157,1416,306,157.92
253,CA-2017-158834,569,4,157,245,306,203.184
254,CA-2016-124919,388,4,584,777,307,58.38
255,US-2018-116897,339,4,599,989,504,35
256,US-2018-116897,339,4,599,850,504,477.15
257,US-2018-116897,339,4,599,1212,504,302.376
258,CA-2016-111325,79,4,305,599,569,16.032
259,CA-2015-166891,281,4,91,305,543,589.41
260,CA-2017-126004,514,4,385,1657,543,78.15
261,CA-2017-126004,514,4,385,1053,543,1.728
262,CA-2017-126004,514,4,385,1398,543,40.56
263,CA-2017-126004,514,4,385,1046,543,182.94
264,CA-2018-121314,60,4,691,660,113,251.64
265,CA-2018-147760,611,4,209,1776,48,523.764
266,CA-2018-147760,611,4,209,1400,48,1359.96
267,CA-2017-126004,514,4,385,1031,543,193.86
268,CA-2018-161102,200,4,62,1763,246,56.56
269,CA-2018-161102,200,4,62,362,246,36.96
270,US-2018-133361,124,4,564,1556,111,3.76
271,US-2018-133361,124,4,564,1656,111,14.7
272,US-2018-133361,124,4,564,1289,111,89.97
273,US-2018-133361,124,4,564,305,111,261.96
274,US-2018-133361,124,4,564,1150,111,74
275,CA-2015-112158,261,4,171,484,508,119.96
276,CA-2017-153682,641,4,231,641,628,839.988
277,CA-2015-149524,651,4,149,1719,617,61.96
278,CA-2015-112158,261,4,171,1177,508,883.92
279,CA-2015-112158,261,4,171,803,508,46.72
280,CA-2015-113887,499,4,450,865,508,55.48
281,CA-2015-130092,548,4,516,602,598,9.94
282,CA-2017-162313,737,4,181,1399,200,167.292
283,CA-2015-142048,587,4,278,172,255,196.752
284,CA-2018-129378,154,4,245,1295,307,1.44
285,CA-2018-129378,154,4,245,980,307,61.776
286,CA-2018-129378,154,4,245,950,307,241.96
287,CA-2018-129378,154,4,245,96,307,108.608
288,CA-2015-101931,363,4,665,1051,285,7.184
289,CA-2015-101931,363,4,665,1484,285,6.28
290,CA-2015-101931,363,4,665,142,285,480.74
291,CA-2015-101931,363,4,665,1394,285,616.998
292,CA-2015-101931,363,4,665,1763,285,141.4
293,CA-2018-161053,208,4,278,160,30,691.96
294,CA-2018-161053,208,4,278,163,30,34.95
295,CA-2018-130526,395,4,76,1543,79,33.568
296,CA-2015-169684,749,4,237,303,515,328.59
297,US-2018-107888,340,4,91,1530,414,73.68
298,US-2018-107888,340,4,91,612,414,107.88
299,US-2018-107888,340,4,91,87,414,33.29
300,US-2016-164966,693,4,427,1159,277,155.88
301,CA-2018-144680,232,4,307,266,458,33.62
302,CA-2015-151001,499,4,761,1506,31,49.632
303,CA-2015-151001,499,4,761,1261,31,52.096
304,CA-2015-101476,107,4,269,626,202,69.99
305,US-2017-150861,183,4,313,929,581,182.72
306,US-2017-150861,183,4,313,557,581,400.032
307,CA-2017-155992,429,4,91,1764,45,69.9
308,CA-2017-155992,429,4,91,918,45,41.85
309,CA-2015-164749,461,4,229,894,525,9.912
310,US-2017-150861,183,4,313,49,581,33.63
311,CA-2018-157980,672,4,620,1255,392,127.984
312,CA-2018-157112,287,4,570,957,358,11.76
313,CA-2018-157112,287,4,570,1298,358,5.344
314,US-2017-150861,183,4,313,1781,581,542.646
315,US-2017-150861,183,4,313,1444,581,6.3
316,CA-2018-146346,167,4,555,1046,484,146.352
317,CA-2018-126788,303,4,503,1818,142,470.376
318,CA-2017-168921,494,4,645,1600,285,19.296
319,CA-2016-169201,551,4,463,1040,246,43.26
320,CA-2016-169201,551,4,463,322,246,43.56
321,CA-2017-123512,303,4,781,1082,144,239.666
322,CA-2017-123512,303,4,781,933,144,22.5
323,CA-2017-123512,303,4,781,1519,144,219.84
324,CA-2015-130449,227,4,507,284,607,41.88
325,CA-2015-130449,227,4,507,1184,607,58.48
326,CA-2018-105214,78,4,297,1756,16,1212.96
327,CA-2018-122994,362,4,501,699,64,359.97
328,CA-2017-162082,484,4,723,106,181,241.332
329,CA-2017-162082,484,4,723,1618,181,5.184
330,CA-2017-162082,484,4,723,462,181,145.544
331,US-2018-124779,276,4,754,749,458,42.616
332,US-2018-124779,276,4,754,1193,458,319.984
333,US-2018-124779,276,4,754,1743,458,45.92
334,US-2018-124779,276,4,754,1653,458,21.184
335,US-2018-124779,276,4,754,648,458,20.736
336,US-2018-124779,276,4,754,1687,458,213.43
337,CA-2017-127369,87,4,489,1668,586,714.3
338,CA-2015-163293,90,4,648,1813,192,32.97
339,CA-2018-154466,58,4,94,1295,440,3.6
340,CA-2015-163293,90,4,648,838,192,83.88
341,CA-2017-160815,268,4,44,380,456,278.4
342,CA-2018-122154,527,4,173,1012,523,15.12
343,CA-2018-142622,525,4,647,1759,295,97.568
344,CA-2018-142622,525,4,647,179,295,614.272
345,CA-2018-142622,525,4,647,1242,295,199.98
346,CA-2017-132143,48,4,99,1128,371,48.16
347,CA-2018-122154,527,4,173,458,523,17.43
348,CA-2018-122154,527,4,173,970,523,251.64
349,CA-2017-112676,313,4,402,83,123,14.352
350,CA-2018-143343,7,4,512,802,496,16.4
351,CA-2018-115154,320,4,319,379,295,892.98
352,CA-2018-134838,625,4,64,1244,144,12.84
353,CA-2018-134838,625,4,64,1793,144,44.67
354,CA-2016-124919,388,4,584,1496,307,105.52
355,CA-2017-130442,120,4,538,985,391,34.944
356,CA-2017-146010,674,4,89,477,66,40.635
357,CA-2017-163384,627,4,444,272,16,32.4
358,CA-2016-156734,87,4,176,855,44,6.129
359,CA-2016-156734,87,4,176,1781,44,643.136
360,CA-2016-156734,87,4,176,1539,44,20.736
361,CA-2015-120096,240,4,399,318,597,177.536
362,CA-2015-120096,240,4,399,1744,597,32.432
363,US-2017-116400,529,4,150,625,531,39.92
364,CA-2017-115574,138,4,515,97,466,141.372
365,CA-2016-160794,26,4,54,363,185,27.216
366,CA-2018-156237,690,4,456,246,617,3.882
367,CA-2018-159156,417,4,195,1212,126,629.95
368,US-2018-120418,724,4,31,1708,75,280.792
369,US-2018-120418,724,4,31,1396,75,68.448
370,US-2018-120418,724,4,31,1349,75,88.04
371,US-2018-120418,724,4,31,780,75,15.872
372,US-2018-120418,724,4,31,84,75,215.592
373,CA-2016-121391,222,4,284,1528,607,26.96
374,CA-2016-117828,618,4,266,199,531,194.32
375,CA-2018-100811,289,4,114,503,248,8.448
376,CA-2018-100811,289,4,114,388,248,39.296
377,CA-2018-138422,60,4,652,61,121,14.352
378,CA-2017-124527,611,4,497,1529,129,8.32
379,CA-2015-141005,466,4,669,382,364,62.94
380,CA-2017-141397,329,4,208,1190,452,46.76
381,CA-2017-141397,329,4,208,622,452,17.712
382,CA-2018-130764,343,4,591,974,246,556.665
383,CA-2015-152233,270,4,405,914,338,99.98
384,CA-2015-125682,607,4,719,1771,410,9.96
385,CA-2018-130764,343,4,591,847,246,95.84
386,CA-2018-139311,331,4,610,795,25,9.184
387,CA-2018-139311,331,4,610,1700,25,153.584
388,CA-2018-156237,690,4,456,421,617,12.585
389,CA-2018-156237,690,4,456,737,617,113.372
390,CA-2018-156237,690,4,456,681,617,18.312
391,CA-2018-156237,690,4,456,1598,617,127.936
392,CA-2018-156237,690,4,456,1757,617,241.17
393,CA-2018-139311,331,4,610,1600,25,12.864
394,CA-2017-141397,329,4,208,249,452,21.78
395,CA-2017-141397,329,4,208,1054,452,161.94
396,US-2015-143231,632,4,17,1251,137,63.2
397,US-2015-143231,632,4,17,326,137,113.97
398,CA-2018-144064,385,4,311,1150,135,47.36
399,CA-2017-110499,506,4,379,922,246,1199.976
400,CA-2016-111514,195,4,307,1635,16,1552.831
401,US-2016-166520,704,4,399,806,508,80.88
402,US-2016-166520,704,4,399,1225,508,599.9
403,CA-2016-166338,23,4,587,250,505,14.832
404,CA-2016-111514,195,4,307,711,16,137.24
405,CA-2016-111514,195,4,307,1588,16,36.51
406,CA-2016-111514,195,4,307,1303,16,239.976
407,US-2017-163461,394,4,151,571,393,76.864
408,US-2015-130358,460,4,673,724,538,20.016
409,US-2015-130358,460,4,673,768,538,3.104
410,CA-2018-123659,715,4,105,1378,339,23.12
411,CA-2018-162635,221,4,239,1827,193,10.816
412,CA-2017-145303,233,4,309,803,191,13.14
413,CA-2017-145303,233,4,309,285,191,10.024
414,CA-2017-145303,233,4,309,897,191,156.3728
415,US-2016-164308,675,4,222,694,56,821.94
416,CA-2016-162544,514,4,46,667,382,4.98
417,CA-2016-165414,614,4,433,733,225,47.976
418,CA-2018-163692,608,4,545,338,361,7.857
419,CA-2018-166576,649,4,740,1338,128,221.024
420,US-2015-117058,662,4,600,473,271,17.46
421,CA-2017-128258,679,4,311,363,512,11.34
422,US-2018-117534,452,4,423,959,94,176.04
423,US-2018-117534,452,4,423,45,94,16.02
424,US-2018-117534,452,4,423,458,94,185.92
425,US-2018-117534,452,4,423,1572,94,211.168
426,US-2018-117534,452,4,423,839,94,479.984
427,CA-2016-145065,16,4,321,230,55,7.86
428,CA-2016-145065,16,4,321,1660,55,24.448
429,CA-2017-146941,580,4,654,1585,543,80.58
430,CA-2017-146941,580,4,654,587,543,361.92
431,CA-2016-124919,388,4,584,1528,307,80.88
432,CA-2017-129847,684,4,544,1650,271,84.272
433,CA-2017-111682,303,4,504,1165,321,30
434,CA-2017-163573,323,4,9,763,382,1219.96
435,CA-2016-129917,428,4,431,69,188,11.808
436,CA-2016-129917,428,4,431,1059,188,53.568
437,CA-2016-129917,428,4,431,525,188,503.96
438,CA-2018-156769,265,4,71,396,64,54.66
439,CA-2018-113481,568,4,291,141,225,695.7
440,CA-2018-155985,369,4,52,964,16,211.84
441,CA-2018-113481,568,4,291,1019,225,28.854
442,US-2017-119298,417,4,464,1616,627,59.98
443,CA-2017-111682,303,4,504,1207,321,48.48
444,CA-2015-146990,322,4,152,982,543,5.92
445,CA-2015-146990,322,4,152,1426,543,30.18
446,CA-2016-144267,397,4,41,1566,246,544.008
447,CA-2016-144267,397,4,41,753,246,59.94
448,CA-2017-117226,214,4,18,207,349,6.924
449,CA-2018-127313,497,4,459,1724,443,37.392
450,CA-2016-144267,397,4,41,1010,246,23.92
451,CA-2018-165099,138,4,321,1285,229,1.392
452,CA-2016-144267,397,4,41,1408,246,4.28
453,CA-2018-123687,344,4,337,731,477,208.44
454,CA-2018-123687,344,4,337,999,477,25.76
455,CA-2017-162901,126,4,291,24,64,31.4
456,CA-2017-145247,313,4,567,1112,477,79.14
457,CA-2018-160045,655,4,27,602,425,1.988
458,US-2018-155425,439,4,469,494,149,38.388
459,US-2018-155425,439,4,469,22,149,95.994
460,CA-2016-154746,482,4,402,1527,460,33.96
461,US-2018-106131,752,4,206,1478,597,169.064
462,US-2018-106131,752,4,206,1579,597,168.624
463,CA-2016-154746,482,4,402,294,460,826.11
464,CA-2015-157924,588,4,626,398,452,31.92
465,CA-2015-157924,588,4,626,1256,452,433.568
466,CA-2016-100216,726,4,632,500,1,31.104
467,CA-2016-100216,726,4,632,23,1,54.816
468,CA-2016-154340,371,4,226,347,352,56.3
469,US-2018-155425,439,4,469,807,149,239.952
470,US-2018-155425,439,4,469,1116,149,201.584
471,US-2018-155425,439,4,469,174,149,899.136
472,CA-2018-133249,615,4,537,1706,124,145.9
473,CA-2017-143749,121,4,462,1377,137,81.94
474,CA-2017-119515,507,4,44,1226,386,15.552
475,CA-2017-111493,221,4,110,219,111,98.16
476,CA-2015-106726,559,4,508,1427,188,1261.33
477,CA-2017-161816,171,4,485,565,6,15.712
478,CA-2018-112004,43,4,175,392,130,8.595
479,CA-2018-112004,43,4,175,82,130,190.896
480,CA-2017-101980,195,4,12,621,126,146.688
481,CA-2017-101980,195,4,12,160,126,276.784
482,CA-2017-101980,195,4,12,1035,126,25.32
483,CA-2015-117478,156,4,435,803,617,6.57
484,CA-2018-149881,212,4,412,1663,246,482.664
485,CA-2018-149881,212,4,412,1821,246,4799.984
486,US-2017-102239,313,4,158,1286,164,1685.88
487,US-2017-102239,313,4,158,837,164,5.728
488,CA-2015-168823,156,4,335,1483,248,11.352
489,CA-2015-168823,156,4,335,1606,248,20.808
490,CA-2018-147144,716,4,129,1617,382,19.83
491,CA-2017-159142,642,4,57,1711,460,149.97
492,CA-2017-114972,155,4,697,523,496,217.584
493,CA-2017-114972,155,4,697,461,496,82.95
494,CA-2017-114972,155,4,697,671,496,87.71
495,CA-2018-163160,652,4,297,1398,374,63.312
496,CA-2018-163160,652,4,297,1602,374,96.784
497,CA-2018-163160,652,4,297,1342,374,10.476
498,CA-2017-124793,484,4,595,732,414,196.784
499,CA-2017-158610,608,4,449,423,446,69.52
500,CA-2017-114972,155,4,697,294,496,1101.48
501,CA-2018-124828,185,4,98,72,411,9.552
502,CA-2015-106054,637,4,591,1058,162,12.78
503,CA-2017-162733,34,4,323,759,144,5.98
504,CA-2018-128853,116,4,61,350,111,908.82
505,CA-2017-124485,323,4,480,792,508,11.56
506,CA-2017-164399,521,4,19,1571,355,203.976
507,CA-2017-164399,521,4,19,1286,355,674.352
508,CA-2017-110492,93,4,723,608,410,1350.12
509,CA-2017-110492,93,4,723,954,410,15.92
510,CA-2017-124485,323,4,480,628,508,88.4
511,CA-2015-103100,152,4,503,751,377,3.69
512,CA-2015-103100,152,4,503,1278,377,1103.97
513,CA-2017-143476,430,4,47,1395,361,2.912
514,CA-2017-143476,430,4,47,899,361,20.736
515,CA-2017-143476,430,4,47,590,361,9.568
516,CA-2017-124485,323,4,480,1488,508,6.48
517,CA-2016-150770,67,4,540,1208,607,8.82
518,CA-2016-150770,67,4,540,1642,607,62.496
519,CA-2016-150770,67,4,540,1080,607,339.96
520,CA-2016-150770,67,4,540,1830,607,49.568
521,CA-2017-111682,303,4,504,1783,321,1.68
522,CA-2015-157546,669,4,174,1641,16,89.712
523,CA-2018-153843,738,4,39,264,364,30.88
524,CA-2018-153843,738,4,39,1710,364,465.16
525,CA-2018-153843,738,4,39,124,364,27.12
526,CA-2015-138737,143,4,608,703,285,8.64
527,US-2018-151127,290,4,730,550,285,49.56
528,US-2015-118486,620,4,269,999,248,10.304
529,US-2018-133781,353,4,232,878,113,37.608
530,CA-2018-131618,167,4,729,666,250,2.304
531,CA-2018-131618,167,4,729,1405,250,9.36
532,US-2015-118486,620,4,269,801,248,154.764
533,US-2015-118486,620,4,269,1403,248,116.784
534,CA-2016-124653,515,4,657,111,4,132.79
535,CA-2016-124653,515,4,657,248,4,12.96
536,CA-2016-102722,292,4,73,1232,435,106.5
537,CA-2016-124653,515,4,657,343,4,21.56
538,CA-2017-153346,532,4,381,1784,568,9.21
539,CA-2018-105809,654,4,25,1563,55,215.968
540,CA-2017-157217,600,4,611,1462,246,35.984
541,CA-2017-157217,600,4,611,178,246,389.97
542,CA-2016-126697,534,4,701,1129,185,946.344
543,CA-2016-126697,534,4,701,258,185,151.2
544,CA-2016-126697,534,4,701,741,185,4.928
545,CA-2018-135783,495,4,438,1124,16,18.28
546,CA-2017-153661,491,4,582,1122,16,305.01
547,CA-2017-153661,491,4,582,1443,16,50.784
548,CA-2017-153661,491,4,582,1323,16,26.01
549,CA-2016-140921,194,4,549,208,340,28.4
550,CA-2018-105410,293,4,567,829,246,657.504
551,CA-2018-105410,293,4,567,1683,246,99.54
552,CA-2015-111899,644,4,480,1575,5,37.84
553,CA-2015-111899,644,4,480,1335,5,5.472
554,CA-2015-163468,298,4,256,659,553,292.1
555,CA-2015-163468,298,4,256,669,553,8.544
556,CA-2015-163468,298,4,256,108,553,424.116
557,CA-2015-163468,298,4,256,657,553,2.892
558,CA-2015-163468,298,4,256,850,553,381.72
559,CA-2018-105410,293,4,567,1762,246,199.96
560,CA-2016-140921,194,4,549,1230,340,149.97
561,CA-2015-151995,718,4,301,703,49,11.52
562,CA-2015-151995,718,4,301,1276,49,213.92
563,US-2018-126053,59,4,164,781,543,41.96
564,US-2018-126053,59,4,164,1197,543,9.45
565,CA-2017-127642,500,4,709,1398,150,111.96
566,CA-2017-149349,521,4,584,727,466,22.752
567,CA-2018-165155,150,4,683,997,144,15.51
568,CA-2016-159590,215,4,648,703,126,5.76
569,CA-2015-151995,718,4,301,446,49,25.78
570,CA-2016-143238,678,4,364,1291,232,46.32
571,CA-2017-163594,166,4,760,1430,304,19.44
572,CA-2017-163594,166,4,760,1689,304,194.352
573,CA-2017-163594,166,4,760,681,304,36.624
574,CA-2018-111556,682,4,617,912,508,46.76
575,CA-2018-161851,451,4,152,1669,115,15.57
576,CA-2018-111556,682,4,617,897,508,183.968
577,CA-2018-111556,682,4,617,478,508,1259.97
578,US-2018-145597,226,4,570,1029,577,54.336
579,CA-2018-111556,682,4,617,1103,508,68.97
580,CA-2016-106565,246,4,714,648,455,51.84
581,CA-2017-114538,479,4,208,550,66,11.328
582,CA-2015-127936,179,4,125,550,126,21.24
583,CA-2015-130624,337,4,772,122,543,617.97
584,CA-2018-152079,151,4,568,1239,271,11.52
585,CA-2018-117695,275,4,146,1128,490,13.76
586,CA-2015-130624,337,4,772,453,543,59.7
587,CA-2015-103058,602,4,742,807,28,99.98
588,CA-2018-102337,27,4,269,179,271,470.302
589,CA-2018-102337,27,4,269,1616,271,47.984
590,US-2015-112564,685,4,680,976,412,2.502
591,CA-2018-159464,641,4,381,830,196,17.24
592,CA-2018-159464,641,4,381,108,196,302.94
593,CA-2018-159464,641,4,381,611,196,34.75
594,CA-2018-159464,641,4,381,1739,196,113.94
595,CA-2018-159464,641,4,381,1638,196,55.98
596,US-2016-160150,463,4,202,367,361,2.025
597,CA-2016-120446,458,4,761,1840,55,18.9
598,CA-2015-109932,31,4,507,1298,534,10.688
599,CA-2015-109932,31,4,507,498,534,237.096
600,CA-2017-133711,22,4,396,1398,357,70.98
601,CA-2016-137974,642,4,188,1451,90,569.64
602,CA-2016-137974,642,4,188,494,90,9.14
603,CA-2016-137974,642,4,188,1594,90,1196.86
604,CA-2016-137974,642,4,188,1064,90,523.26
605,CA-2018-109589,426,4,363,1232,478,71
606,CA-2017-139997,42,4,22,839,587,1499.95
607,CA-2017-133711,22,4,396,621,357,91.68
608,CA-2017-133711,22,4,396,367,357,33.75
609,CA-2017-133711,22,4,396,1294,357,3040
610,CA-2016-155334,693,4,626,484,607,209.93
611,CA-2016-155334,693,4,626,1555,607,5.28
612,CA-2017-147137,704,4,724,1835,607,25.4
